Course code,Study period,Academic year,Instance_id,Examiner,Planned number of Students,Senior Hours,Assistant Hours
1290,3.0,2017-2018,I-1107,19570828-0008,40,240,240
1276,2.0,2017-2018,I-1108,19600814-0002,20,240,420
1191,2.0,2017-2018,I-1109,19570615-0011,40,240,360
1095,3.0,2017-2018,I-1110,19610620-0006,50,240,300
1109,4.0,2018-2019,I-1111,19610918-0027,40,280,420
1192,2.0,2018-2019,I-1112,19570826-0012,60,280,360
1177,1.0,2018-2019,I-1113,19580218-0007,40,240,200
1173,3.0,2018-2019,I-1114,19620522-0023,60,260,360
1127,3.0,2018-2019,I-1115,19640220-0029,60,240,300
1292,4.0,2018-2019,I-1116,19690513-0015,20,240,280
1206,4.0,2018-2019,I-1117,19611219-0014,60,260,420
1151,3.0,2018-2019,I-1118,19580515-0017,50,260,240
1123,3.0,2018-2019,I-1119,19580515-0017,40,260,200
1079,3.0,2018-2019,I-1120,19660630-0020,20,240,420
1041,3.0,2018-2019,I-1121,19690408-0009,40,240,420
1112,3.0,2019-2020,I-1122,19650303-0019,50,260,360
1264,2.0,2019-2020,I-1123,19611219-0014,20,260,200
1190,4.0,2019-2020,I-1124,19600814-0002,20,280,280
1176,4.0,2019-2020,I-1125,19561222-0030,20,280,200
1044,2.0,2019-2020,I-1126,19640414-0013,60,240,420
1296,3.0,2019-2020,I-1127,19630126-0001,60,240,240
1250,4.0,2019-2020,I-1128,19650303-0019,20,240,240
1157,2.0,2019-2020,I-1129,19600814-0002,50,280,280
1070,2.0,2019-2020,I-1130,19560705-0025,60,280,300
1286,3.0,2020-2021,I-1131,19610623-0005,40,260,360
1294,1.0,2020-2021,I-1132,19590129-0004,50,240,200
1148,3.0,2020-2021,I-1133,19690513-0015,60,280,200
1277,3.0,2020-2021,I-1134,19640414-0013,40,280,420
1259,2.0,2020-2021,I-1135,19570828-0008,60,280,360
1193,2.0,2020-2021,I-1136,19610620-0006,60,280,200
1173,4.0,2020-2021,I-1137,19600905-0003,60,240,420
1111,3.0,2020-2021,I-1138,19570828-0008,20,280,300
1103,4.0,2020-2021,I-1139,19570615-0011,50,280,300
1103,3.0,2021-2022,I-1140,19630126-0001,40,240,240
1067,1.0,2021-2022,I-1141,19630126-0001,50,280,280
1101,3.0,2021-2022,I-1142,19620831-0024,50,260,360
1047,1.0,2021-2022,I-1143,19570615-0011,40,280,200
1267,4.0,2021-2022,I-1144,19570826-0012,20,260,240
1083,4.0,2021-2022,I-1145,19601021-0018,20,240,420
1081,1.0,2021-2022,I-1146,19600814-0002,20,240,300
1076,2.0,2021-2022,I-1147,19600905-0003,50,280,300
1064,4.0,2021-2022,I-1148,19600814-0002,20,260,280
1023,4.0,2021-2022,I-1149,19601021-0018,20,240,200
1202,4.0,2022-2023,I-1150,19690408-0009,20,280,300
1172,3.0,2022-2023,I-1151,19570826-0012,50,280,200
1209,4.0,2022-2023,I-1152,19570828-0008,60,280,420
1114,3.0,2022-2023,I-1153,19640220-0029,50,260,300
1037,3.0,2022-2023,I-1154,19601021-0018,40,280,240
1210,3.0,2022-2023,I-1155,19570828-0008,60,240,240
1166,1.0,2022-2023,I-1156,19570828-0008,60,260,200
1091,4.0,2022-2023,I-1157,19611219-0014,20,280,200
1053,4.0,2022-2023,I-1158,19690513-0015,60,240,280
1038,1.0,2022-2023,I-1159,19690917-0022,20,260,420
1172,3.0,2023-2024,I-1160,19620831-0024,40,280,420
1125,3.0,2023-2024,I-1161,19680712-0028,50,240,300
1270,4.0,2023-2024,I-1162,19680712-0028,60,240,360
1118,3.0,2023-2024,I-1163,19601021-0018,60,260,360
1032,1.0,2023-2024,I-1164,19690513-0015,50,240,300
1271,4.0,2023-2024,I-1165,19600814-0002,50,260,240
1163,3.0,2023-2024,I-1166,19611219-0014,60,240,420
1133,4.0,2023-2024,I-1167,19620522-0023,50,280,300
1121,3.0,2023-2024,I-1168,19570826-0012,50,280,300
1033,4.0,2023-2024,I-1169,19600529-0021,20,240,300
1292,2.0,2013-2014,I-1170,19570615-0011,40,260,420
1160,3.0,2013-2014,I-1171,19610623-0005,40,280,420
1273,4.0,2013-2014,I-1172,19600814-0002,60,240,360
1146,2.0,2013-2014,I-1173,19560705-0025,40,280,420
1046,3.0,2013-2014,I-1174,19611219-0014,40,240,420
1004,1.0,2013-2014,I-1175,19610620-0006,40,280,240
1294,4.0,2013-2014,I-1176,19620831-0024,60,260,200
1284,2.0,2013-2014,I-1177,19660630-0020,50,240,280
1267,4.0,2013-2014,I-1178,19650303-0019,60,240,420
1184,3.0,2013-2014,I-1179,19561222-0030,50,280,280
1169,3.0,2013-2014,I-1180,19620522-0023,50,280,300
1230,4.0,2014-2015,I-1181,19610918-0027,60,280,200
1030,2.0,2014-2015,I-1182,19570826-0012,60,260,300
1291,2.0,2014-2015,I-1183,19680712-0028,50,280,300
1220,1.0,2014-2015,I-1184,19600529-0021,20,280,300
1034,3.0,2014-2015,I-1185,19570615-0011,60,280,300
1238,3.0,2014-2015,I-1186,19620831-0024,40,260,360
1152,2.0,2014-2015,I-1187,19620831-0024,20,240,280
1149,1.0,2014-2015,I-1188,19650303-0019,60,280,200
1105,1.0,2014-2015,I-1189,19620424-0026,20,240,420
1126,4.0,2015-2016,I-1190,19630126-0001,20,280,280
1224,4.0,2015-2016,I-1191,19620522-0023,60,260,420
1196,1.0,2015-2016,I-1192,19570615-0011,20,280,360
1138,3.0,2015-2016,I-1193,19561222-0030,20,280,420
1131,1.0,2015-2016,I-1194,19600905-0003,60,260,420
1294,1.0,2015-2016,I-1195,19610623-0005,20,280,300
1254,2.0,2015-2016,I-1196,19610620-0006,40,260,420
1148,1.0,2015-2016,I-1197,19600529-0021,50,260,300
1019,4.0,2015-2016,I-1198,19610623-0005,50,240,240
1010,3.0,2015-2016,I-1199,19601021-0018,60,240,200
1160,4.0,2016-2017,I-1200,19580218-0007,50,260,280
1187,1.0,2016-2017,I-1201,19600529-0021,50,240,280
1154,2.0,2016-2017,I-1202,19630126-0001,50,280,420
1047,3.0,2016-2017,I-1203,19650303-0019,60,280,300
1285,3.0,2016-2017,I-1204,19610620-0006,40,260,360
1246,4.0,2016-2017,I-1205,19561222-0030,20,240,300
1134,1.0,2016-2017,I-1206,19690513-0015,60,240,420
1121,4.0,2016-2017,I-1207,19690513-0015,60,260,200
1210,1.0,2017-2018,I-1208,19560705-0025,60,280,200
1151,3.0,2017-2018,I-1209,19610918-0027,20,280,200
1238,3.0,2017-2018,I-1210,19570828-0008,40,260,280
1223,3.0,2017-2018,I-1211,19560612-0010,50,260,200
1028,2.0,2017-2018,I-1212,19561222-0030,40,240,280
1297,1.0,2017-2018,I-1213,19590129-0004,60,260,280
1257,3.0,2017-2018,I-1214,19630126-0001,50,280,200
1236,4.0,2017-2018,I-1215,19640414-0013,60,260,280
1157,1.0,2017-2018,I-1216,19601021-0018,50,240,300
1244,3.0,2018-2019,I-1217,19690917-0022,40,260,300
1262,4.0,2018-2019,I-1218,19600905-0003,50,240,300
1192,3.0,2018-2019,I-1219,19570828-0008,50,280,300
1170,3.0,2018-2019,I-1220,19600529-0021,60,260,200
1161,4.0,2018-2019,I-1221,19570615-0011,20,240,420
1277,1.0,2018-2019,I-1222,19611219-0014,40,260,280
1250,3.0,2018-2019,I-1223,19560612-0010,20,260,280
1202,1.0,2018-2019,I-1224,19600814-0002,60,240,420
1195,3.0,2018-2019,I-1225,19690513-0015,20,280,200
1172,2.0,2018-2019,I-1226,19620522-0023,20,240,300
1071,3.0,2018-2019,I-1227,19561222-0030,40,260,420
1139,4.0,2019-2020,I-1228,19650303-0019,40,260,240
1089,2.0,2019-2020,I-1229,19590129-0004,20,240,360
1075,3.0,2019-2020,I-1230,19611219-0014,40,280,280
1286,1.0,2019-2020,I-1231,19561222-0030,20,280,240
1258,3.0,2019-2020,I-1232,19690917-0022,40,260,240
1223,3.0,2019-2020,I-1233,19561222-0030,40,260,240
1196,4.0,2019-2020,I-1234,19600814-0002,40,240,420
1267,1.0,2020-2021,I-1235,19600814-0002,20,260,200
1157,1.0,2020-2021,I-1236,19600905-0003,20,280,240
1050,2.0,2020-2021,I-1237,19580515-0017,60,240,200
1012,2.0,2020-2021,I-1238,19620424-0026,50,260,420
1115,1.0,2020-2021,I-1239,19580218-0007,40,240,200
1087,3.0,2020-2021,I-1240,19690408-0009,60,280,420
1066,2.0,2020-2021,I-1241,19560612-0010,50,260,240
1044,2.0,2020-2021,I-1242,19600905-0003,20,280,300
1026,4.0,2020-2021,I-1243,19630126-0001,50,280,240
1254,3.0,2021-2022,I-1244,19560612-0010,40,280,300
1279,2.0,2021-2022,I-1245,19660630-0020,20,260,420
1262,1.0,2021-2022,I-1246,19660630-0020,60,280,300
1042,4.0,2021-2022,I-1247,19690917-0022,60,280,300
1040,2.0,2021-2022,I-1248,19610918-0027,40,280,360
1256,2.0,2021-2022,I-1249,19610620-0006,50,260,240
1245,1.0,2021-2022,I-1250,19560612-0010,50,240,300
1177,3.0,2021-2022,I-1251,19660630-0020,60,260,280
1145,2.0,2021-2022,I-1252,19580218-0007,60,240,420
1134,2.0,2021-2022,I-1253,19650303-0019,40,240,280
1104,3.0,2022-2023,I-1254,19570826-0012,20,260,240
1233,4.0,2022-2023,I-1255,19620831-0024,40,260,280
1151,1.0,2022-2023,I-1256,19560705-0025,50,280,200
1114,3.0,2022-2023,I-1257,19650303-0019,20,240,200
1019,1.0,2022-2023,I-1258,19590129-0004,40,260,300
1188,1.0,2022-2023,I-1259,19580515-0017,40,260,300
1154,3.0,2022-2023,I-1260,19601021-0018,40,280,420
1079,1.0,2022-2023,I-1261,19690513-0015,60,240,420
1005,3.0,2022-2023,I-1262,19610620-0006,60,260,360
1116,3.0,2023-2024,I-1263,19570615-0011,50,240,360
1102,4.0,2023-2024,I-1264,19560612-0010,40,260,300
1255,4.0,2023-2024,I-1265,19610623-0005,50,240,280
1245,1.0,2023-2024,I-1266,19610623-0005,40,280,240
1253,2.0,2023-2024,I-1267,19600814-0002,60,260,300
1222,1.0,2023-2024,I-1268,19610620-0006,40,240,420
1126,1.0,2023-2024,I-1269,19690408-0009,60,260,280
1125,4.0,2023-2024,I-1270,19690513-0015,50,240,280
1111,3.0,2023-2024,I-1271,19560612-0010,40,280,200
1036,4.0,2023-2024,I-1272,19601021-0018,20,240,360
1200,2.0,2013-2014,I-1273,19590129-0004,60,240,420
1282,1.0,2013-2014,I-1274,19620831-0024,60,280,280
1050,3.0,2013-2014,I-1275,19561222-0030,20,260,300
1297,4.0,2013-2014,I-1276,19570615-0011,60,280,420
1219,3.0,2013-2014,I-1277,19600814-0002,40,240,300
1076,2.0,2013-2014,I-1278,19560812-0016,50,240,300
1077,2.0,2013-2014,I-1279,19600814-0002,60,260,200
1253,3.0,2014-2015,I-1280,19690917-0022,60,260,360
1073,4.0,2014-2015,I-1281,19611219-0014,60,260,200
1067,3.0,2014-2015,I-1282,19610623-0005,20,240,300
1050,3.0,2014-2015,I-1283,19640414-0013,40,260,240
1030,2.0,2014-2015,I-1284,19580218-0007,50,240,420
1297,3.0,2014-2015,I-1285,19580218-0007,50,240,240
1200,3.0,2014-2015,I-1286,19690408-0009,40,260,300
1181,1.0,2014-2015,I-1287,19580515-0017,40,260,200
1115,3.0,2014-2015,I-1288,19600529-0021,40,260,200
1104,3.0,2014-2015,I-1289,19610623-0005,20,240,300
1015,4.0,2014-2015,I-1290,19601021-0018,40,240,200
1110,1.0,2015-2016,I-1291,19560812-0016,60,240,360
1024,2.0,2015-2016,I-1292,19620424-0026,60,260,360
1164,2.0,2015-2016,I-1293,19690408-0009,40,260,360
1095,3.0,2015-2016,I-1294,19580515-0017,40,260,300
1274,1.0,2015-2016,I-1295,19620424-0026,20,240,240
1214,4.0,2015-2016,I-1296,19620424-0026,50,240,200
1213,2.0,2015-2016,I-1297,19601021-0018,50,240,280
1081,3.0,2015-2016,I-1298,19620831-0024,60,240,420
1003,2.0,2015-2016,I-1299,19690408-0009,20,240,420
1075,3.0,2016-2017,I-1300,19600814-0002,40,240,240
1179,4.0,2016-2017,I-1301,19570828-0008,20,240,200
1134,1.0,2016-2017,I-1302,19580515-0017,20,260,360
1287,4.0,2016-2017,I-1303,19611219-0014,60,260,200
1282,4.0,2016-2017,I-1304,19590129-0004,40,240,420
1254,3.0,2016-2017,I-1305,19690513-0015,40,240,360
1255,4.0,2016-2017,I-1306,19690408-0009,40,240,200
1251,4.0,2016-2017,I-1307,19570826-0012,40,240,200
1200,1.0,2016-2017,I-1308,19660630-0020,20,260,360
1260,4.0,2017-2018,I-1309,19660630-0020,50,240,240
1203,4.0,2017-2018,I-1310,19690408-0009,60,280,300
1112,2.0,2017-2018,I-1311,19600814-0002,50,240,300
1104,4.0,2017-2018,I-1312,19610620-0006,20,240,200
1182,2.0,2017-2018,I-1313,19650303-0019,20,240,300
1154,2.0,2017-2018,I-1314,19610918-0027,50,240,280
1140,4.0,2017-2018,I-1315,19600814-0002,60,240,420
1105,2.0,2017-2018,I-1316,19690917-0022,50,280,200
1060,3.0,2017-2018,I-1317,19580515-0017,20,240,280
1003,4.0,2017-2018,I-1318,19570826-0012,40,260,300
1139,4.0,2018-2019,I-1319,19580218-0007,60,260,420
1277,2.0,2018-2019,I-1320,19601021-0018,50,240,280
1268,4.0,2018-2019,I-1321,19620831-0024,60,280,360
1101,4.0,2018-2019,I-1322,19630126-0001,40,240,420
1045,4.0,2018-2019,I-1323,19640220-0029,50,260,280
1252,1.0,2018-2019,I-1324,19570826-0012,40,240,360
1245,3.0,2018-2019,I-1325,19580218-0007,20,260,300
1102,3.0,2018-2019,I-1326,19620424-0026,20,260,420
1018,1.0,2018-2019,I-1327,19660630-0020,40,260,300
1016,1.0,2018-2019,I-1328,19690917-0022,40,260,280
1167,3.0,2019-2020,I-1329,19560812-0016,40,240,280
1132,3.0,2019-2020,I-1330,19560612-0010,20,240,240
1285,2.0,2019-2020,I-1331,19560612-0010,20,260,300
1241,3.0,2019-2020,I-1332,19570828-0008,20,280,300
1237,3.0,2019-2020,I-1333,19610918-0027,20,280,300
1283,2.0,2019-2020,I-1334,19601021-0018,20,280,200
1201,3.0,2019-2020,I-1335,19680712-0028,20,260,300
1084,1.0,2019-2020,I-1336,19630126-0001,20,280,300
1067,1.0,2019-2020,I-1337,19560612-0010,20,260,300
1012,4.0,2019-2020,I-1338,19590129-0004,60,280,240
1250,3.0,2020-2021,I-1339,19620522-0023,60,280,300
1013,4.0,2020-2021,I-1340,19570826-0012,40,240,200
1178,2.0,2020-2021,I-1341,19561222-0030,50,280,360
1167,4.0,2020-2021,I-1342,19650303-0019,40,240,240
1125,3.0,2020-2021,I-1343,19611219-0014,60,240,300
1016,1.0,2020-2021,I-1344,19570615-0011,50,280,200
1287,4.0,2020-2021,I-1345,19560812-0016,40,260,420
1270,4.0,2020-2021,I-1346,19610620-0006,20,260,240
1202,1.0,2020-2021,I-1347,19570826-0012,40,280,300
1156,2.0,2020-2021,I-1348,19570828-0008,40,240,420
1103,4.0,2020-2021,I-1349,19600814-0002,50,280,240
1008,3.0,2020-2021,I-1350,19590129-0004,40,280,300
1274,1.0,2021-2022,I-1351,19580515-0017,40,280,300
1014,3.0,2021-2022,I-1352,19620831-0024,60,280,300
1267,1.0,2021-2022,I-1353,19560612-0010,20,260,200
1255,3.0,2021-2022,I-1354,19610623-0005,60,260,280
1159,3.0,2021-2022,I-1355,19560705-0025,20,260,300
1164,2.0,2021-2022,I-1356,19610918-0027,60,260,420
1140,1.0,2021-2022,I-1357,19610620-0006,60,280,200
1116,2.0,2021-2022,I-1358,19600905-0003,40,280,420
1037,3.0,2021-2022,I-1359,19600905-0003,40,260,360
1262,2.0,2022-2023,I-1360,19620831-0024,50,240,360
1201,2.0,2022-2023,I-1361,19601021-0018,60,260,420
1233,4.0,2022-2023,I-1362,19570826-0012,60,240,280
1190,4.0,2022-2023,I-1363,19680712-0028,40,240,360
1160,2.0,2022-2023,I-1364,19560612-0010,50,260,200
1078,3.0,2022-2023,I-1365,19690917-0022,50,240,240
1238,4.0,2022-2023,I-1366,19610620-0006,60,260,240
1203,1.0,2022-2023,I-1367,19600529-0021,50,260,420
1073,1.0,2022-2023,I-1368,19560612-0010,60,240,300
1059,4.0,2022-2023,I-1369,19560612-0010,50,240,300
1054,1.0,2022-2023,I-1370,19601021-0018,40,260,300
1012,3.0,2022-2023,I-1371,19610623-0005,20,260,240
1041,3.0,2023-2024,I-1372,19570615-0011,50,280,420
1022,1.0,2023-2024,I-1373,19580515-0017,50,260,360
1247,1.0,2023-2024,I-1374,19610918-0027,20,260,420
1202,2.0,2023-2024,I-1375,19630126-0001,60,260,280
1299,2.0,2023-2024,I-1376,19690408-0009,60,280,360
1277,4.0,2023-2024,I-1377,19620831-0024,50,260,240
1236,1.0,2023-2024,I-1378,19620831-0024,20,280,280
1209,2.0,2023-2024,I-1379,19601021-0018,20,240,420
1138,1.0,2023-2024,I-1380,19610620-0006,60,240,200
1025,1.0,2023-2024,I-1381,19610620-0006,60,240,200
1236,2.0,2013-2014,I-1382,19600905-0003,20,260,280
1288,2.0,2013-2014,I-1383,19570826-0012,40,240,240
1280,2.0,2013-2014,I-1384,19680712-0028,60,240,420
1087,3.0,2013-2014,I-1385,19610918-0027,60,280,280
1249,2.0,2013-2014,I-1386,19690408-0009,60,240,300
1238,2.0,2013-2014,I-1387,19630126-0001,50,280,300
1081,2.0,2013-2014,I-1388,19561222-0030,40,280,200
1057,4.0,2013-2014,I-1389,19620424-0026,60,240,360
1006,4.0,2013-2014,I-1390,19580515-0017,60,260,200
1287,4.0,2014-2015,I-1391,19650303-0019,40,240,420
1125,2.0,2014-2015,I-1392,19611219-0014,20,280,240
1257,3.0,2014-2015,I-1393,19640414-0013,60,280,360
1230,1.0,2014-2015,I-1394,19690408-0009,40,280,240
1086,2.0,2014-2015,I-1395,19610918-0027,20,260,360
1049,3.0,2014-2015,I-1396,19600905-0003,20,280,300
1196,4.0,2014-2015,I-1397,19600529-0021,50,260,200
1136,1.0,2014-2015,I-1398,19620831-0024,60,260,300
1092,4.0,2014-2015,I-1399,19630126-0001,20,260,240
1027,3.0,2014-2015,I-1400,19610620-0006,40,240,420
1187,2.0,2015-2016,I-1401,19611219-0014,50,280,360
1061,3.0,2015-2016,I-1402,19610623-0005,20,260,200
1283,4.0,2015-2016,I-1403,19560812-0016,60,240,420
1158,3.0,2015-2016,I-1404,19570615-0011,50,280,280
1118,4.0,2015-2016,I-1405,19570826-0012,60,260,420
1021,3.0,2015-2016,I-1406,19601021-0018,60,260,420
1285,1.0,2015-2016,I-1407,19561222-0030,60,240,300
1145,1.0,2015-2016,I-1408,19580218-0007,50,280,300
1091,3.0,2015-2016,I-1409,19600814-0002,20,260,200
1060,2.0,2015-2016,I-1410,19610918-0027,60,280,360
1049,4.0,2015-2016,I-1411,19600814-0002,20,260,360
1143,1.0,2016-2017,I-1412,19580218-0007,50,240,420
1050,4.0,2016-2017,I-1413,19690917-0022,40,280,300
1290,2.0,2016-2017,I-1414,19570826-0012,60,280,280
1055,4.0,2016-2017,I-1415,19580515-0017,20,280,200
1036,3.0,2016-2017,I-1416,19620522-0023,40,280,200
1237,3.0,2016-2017,I-1417,19620424-0026,40,260,300
1160,2.0,2016-2017,I-1418,19600529-0021,20,260,360
1150,2.0,2016-2017,I-1419,19580515-0017,40,280,420
1147,3.0,2016-2017,I-1420,19600905-0003,50,260,420
1112,4.0,2016-2017,I-1421,19680712-0028,50,280,360
1006,1.0,2016-2017,I-1422,19561222-0030,40,280,240
1227,3.0,2017-2018,I-1423,19690513-0015,20,240,200
1224,3.0,2017-2018,I-1424,19600905-0003,50,240,420
1136,1.0,2017-2018,I-1425,19640414-0013,20,240,280
1131,1.0,2017-2018,I-1426,19601021-0018,50,240,280
1297,1.0,2017-2018,I-1427,19620424-0026,40,280,280
1282,3.0,2017-2018,I-1428,19580515-0017,20,240,300
1090,2.0,2017-2018,I-1429,19580515-0017,60,260,240
1035,3.0,2017-2018,I-1430,19660630-0020,20,240,200
1016,1.0,2017-2018,I-1431,19611219-0014,40,260,360
1226,2.0,2018-2019,I-1432,19690408-0009,50,240,300
1024,1.0,2018-2019,I-1433,19600529-0021,40,240,360
1225,1.0,2018-2019,I-1434,19560812-0016,40,260,300
1145,2.0,2018-2019,I-1435,19570826-0012,20,260,200
1268,2.0,2018-2019,I-1436,19600529-0021,60,260,280
1098,3.0,2018-2019,I-1437,19580515-0017,20,280,420
1034,1.0,2018-2019,I-1438,19630126-0001,20,240,300
1005,4.0,2018-2019,I-1439,19650303-0019,40,280,360
1069,3.0,2019-2020,I-1440,19590129-0004,40,240,300
1038,2.0,2019-2020,I-1441,19620424-0026,60,280,240
1264,1.0,2019-2020,I-1442,19570828-0008,50,280,420
1048,3.0,2019-2020,I-1443,19600529-0021,60,240,420
1044,2.0,2019-2020,I-1444,19610918-0027,60,280,240
1009,1.0,2019-2020,I-1445,19620424-0026,40,240,300
1274,2.0,2019-2020,I-1446,19650303-0019,60,260,240
1250,1.0,2019-2020,I-1447,19690513-0015,50,260,200
1101,1.0,2019-2020,I-1448,19561222-0030,50,240,280
1094,1.0,2019-2020,I-1449,19580515-0017,50,280,300
1064,4.0,2019-2020,I-1450,19570826-0012,60,240,200
1033,4.0,2019-2020,I-1451,19680712-0028,20,280,360
1261,1.0,2020-2021,I-1452,19620522-0023,40,280,200
1236,3.0,2020-2021,I-1453,19610918-0027,60,240,200
1295,2.0,2020-2021,I-1454,19580218-0007,20,240,360
1269,4.0,2020-2021,I-1455,19601021-0018,50,260,200
1015,4.0,2020-2021,I-1456,19610918-0027,20,280,280
1226,1.0,2020-2021,I-1457,19600905-0003,40,260,360
1124,1.0,2020-2021,I-1458,19660630-0020,20,240,280
1116,3.0,2020-2021,I-1459,19611219-0014,40,280,240
1099,1.0,2020-2021,I-1460,19600814-0002,40,280,200
1043,2.0,2020-2021,I-1461,19610620-0006,60,280,420
1035,1.0,2020-2021,I-1462,19580515-0017,20,280,200
1069,4.0,2021-2022,I-1463,19610623-0005,40,280,200
1269,1.0,2021-2022,I-1464,19680712-0028,20,280,360
1222,1.0,2021-2022,I-1465,19590129-0004,60,280,280
1274,4.0,2021-2022,I-1466,19640414-0013,20,280,300
1235,1.0,2021-2022,I-1467,19620831-0024,40,280,360
1203,3.0,2021-2022,I-1468,19620831-0024,60,280,200
1078,1.0,2021-2022,I-1469,19590129-0004,20,240,360
1032,4.0,2021-2022,I-1470,19590129-0004,60,260,420
1258,2.0,2022-2023,I-1471,19610623-0005,60,280,200
1154,4.0,2022-2023,I-1472,19690408-0009,60,280,300
1297,4.0,2022-2023,I-1473,19680712-0028,50,280,280
1275,3.0,2022-2023,I-1474,19620522-0023,40,240,300
1241,3.0,2022-2023,I-1475,19570615-0011,20,240,200
1175,1.0,2022-2023,I-1476,19640414-0013,60,280,280
1151,2.0,2022-2023,I-1477,19600905-0003,40,260,300
1113,4.0,2022-2023,I-1478,19590129-0004,60,240,300
1223,2.0,2023-2024,I-1479,19620522-0023,20,280,360
1139,3.0,2023-2024,I-1480,19660630-0020,50,260,420
1192,2.0,2023-2024,I-1481,19561222-0030,20,260,240
1093,4.0,2023-2024,I-1482,19610918-0027,50,260,200
1269,3.0,2023-2024,I-1483,19600905-0003,40,260,420
1262,1.0,2023-2024,I-1484,19580515-0017,20,280,200
1226,3.0,2023-2024,I-1485,19600529-0021,60,240,420
1020,1.0,2023-2024,I-1486,19560812-0016,40,240,360
1177,3.0,2013-2014,I-1487,19600529-0021,50,240,420
1171,4.0,2013-2014,I-1488,19560812-0016,20,280,200
1100,2.0,2013-2014,I-1489,19690917-0022,50,260,420
1270,1.0,2013-2014,I-1490,19611219-0014,50,240,420
1158,3.0,2013-2014,I-1491,19561222-0030,60,240,300
1133,2.0,2013-2014,I-1492,19630126-0001,60,260,280
1070,2.0,2013-2014,I-1493,19570826-0012,60,240,240
1127,2.0,2014-2015,I-1494,19630126-0001,60,240,360
1122,3.0,2014-2015,I-1495,19620424-0026,60,280,300
1271,2.0,2014-2015,I-1496,19580515-0017,60,260,420
1263,3.0,2014-2015,I-1497,19570828-0008,60,260,200
1155,2.0,2014-2015,I-1498,19570826-0012,20,240,300
1040,1.0,2014-2015,I-1499,19560705-0025,40,260,360
1282,2.0,2014-2015,I-1500,19650303-0019,40,260,420
1199,2.0,2014-2015,I-1501,19611219-0014,50,280,280
1139,1.0,2014-2015,I-1502,19630126-0001,50,240,300
1104,2.0,2014-2015,I-1503,19640414-0013,40,260,280
1056,2.0,2014-2015,I-1504,19570615-0011,60,280,240
1278,1.0,2015-2016,I-1505,19570828-0008,60,240,240
1047,3.0,2015-2016,I-1506,19640414-0013,60,260,200
1292,3.0,2015-2016,I-1507,19590129-0004,60,240,420
1229,2.0,2015-2016,I-1508,19610623-0005,60,280,280
1165,3.0,2015-2016,I-1509,19620424-0026,20,280,200
1261,4.0,2015-2016,I-1510,19570828-0008,20,260,200
1230,4.0,2015-2016,I-1511,19570615-0011,60,280,360
1174,3.0,2015-2016,I-1512,19610918-0027,40,240,200
1146,2.0,2015-2016,I-1513,19690408-0009,60,280,300
1275,2.0,2016-2017,I-1514,19580515-0017,20,260,200
1065,1.0,2016-2017,I-1515,19560612-0010,40,240,300
1234,4.0,2016-2017,I-1516,19600529-0021,60,260,200
1079,4.0,2016-2017,I-1517,19690513-0015,50,260,280
1250,2.0,2016-2017,I-1518,19560812-0016,40,280,420
1105,1.0,2016-2017,I-1519,19570615-0011,50,260,300
1076,3.0,2016-2017,I-1520,19600905-0003,50,240,240
1036,3.0,2016-2017,I-1521,19610623-0005,20,260,420
1043,4.0,2017-2018,I-1522,19690408-0009,50,260,280
1006,1.0,2017-2018,I-1523,19680712-0028,50,260,420
1231,4.0,2017-2018,I-1524,19600529-0021,60,240,240
1106,1.0,2017-2018,I-1525,19580218-0007,50,240,420
1098,1.0,2017-2018,I-1526,19610623-0005,40,260,200
1090,3.0,2017-2018,I-1527,19610623-0005,20,280,420
1280,2.0,2017-2018,I-1528,19580515-0017,50,240,300
1178,4.0,2017-2018,I-1529,19610620-0006,60,260,420
1147,1.0,2017-2018,I-1530,19580515-0017,20,260,300
1116,4.0,2017-2018,I-1531,19680712-0028,40,280,200
1181,1.0,2018-2019,I-1532,19560612-0010,40,280,200
1213,3.0,2018-2019,I-1533,19620424-0026,60,280,300
1187,3.0,2018-2019,I-1534,19610918-0027,20,280,280
1078,3.0,2018-2019,I-1535,19580218-0007,20,260,240
1016,2.0,2018-2019,I-1536,19580515-0017,60,280,420
1279,3.0,2018-2019,I-1537,19560705-0025,40,280,360
1188,4.0,2018-2019,I-1538,19560705-0025,40,280,420
1165,2.0,2018-2019,I-1539,19610918-0027,50,280,200
1136,3.0,2018-2019,I-1540,19560705-0025,50,240,300
1133,3.0,2018-2019,I-1541,19611219-0014,20,240,280
1159,4.0,2019-2020,I-1542,19630126-0001,50,280,420
1298,3.0,2019-2020,I-1543,19630126-0001,60,280,200
1204,4.0,2019-2020,I-1544,19690408-0009,20,240,200
1020,1.0,2019-2020,I-1545,19601021-0018,20,280,240
1297,4.0,2019-2020,I-1546,19611219-0014,40,260,360
1255,2.0,2019-2020,I-1547,19570615-0011,50,260,200
1246,4.0,2019-2020,I-1548,19620522-0023,20,260,200
1236,2.0,2019-2020,I-1549,19570828-0008,20,260,200
1094,2.0,2019-2020,I-1550,19570615-0011,20,240,360
1264,2.0,2020-2021,I-1551,19570615-0011,50,240,420
1061,1.0,2020-2021,I-1552,19570828-0008,20,280,300
1173,4.0,2020-2021,I-1553,19620424-0026,60,280,420
1163,1.0,2020-2021,I-1554,19620831-0024,60,260,420
1258,4.0,2020-2021,I-1555,19601021-0018,50,260,200
1181,2.0,2020-2021,I-1556,19690513-0015,20,260,360
